#ENSG	canENSP	ENST	Sample	GTExMDTs	N_GTEx	MedianMDTenrGTEx	Pvalue	Qvalue	N_GTeX_MDTs	EnrPcawg	MedRelExprGTEx	RelExprPcawg	MissedInts	StringIntN	MissedCanN	MissedComN
ENSG00000001167	ENSP00000345702	ENST00000353205	310820cc-fc05-45c6-8f04-a44db0828686	ENST00000341376:88	88	7.252441671188279	6.462e-27	6.649e-27	88	8.126	0.121	0.890	-	0	0	0
ENSG00000001167	ENSP00000345702	ENST00000353205	82bb01e9-a659-417b-b9e8-831a76277a21	ENST00000341376:88	88	7.252441671188279	6.462e-27	6.649e-27	88	9.991	0.121	0.909	-	0	0	0
ENSG00000001167	ENSP00000345702	ENST00000353205	9c1d30c4-c8f0-4ca7-bec7-243f81b7680a	ENST00000341376:88	88	7.252441671188279	6.462e-27	6.649e-27	88	2.245	0.121	0.692	-	0	0	0
ENSG00000001167	ENSP00000345702	ENST00000353205	dd96340b-cc6f-4a3f-b441-c7af1d86684e	ENST00000341376:88	88	7.252441671188279	6.462e-27	6.649e-27	88	4.299	0.121	0.811	-	0	0	0
ENSG00000001167	ENSP00000345702	ENST00000353205	932c2e20-510c-4aed-879e-b69d90710b64	ENST00000341376:88	88	7.252441671188279	6.462e-27	6.649e-27	88	10.298	0.121	0.911	-	0	0	0
ENSG00000001460	ENSP00000337461	ENST00000440416	82bb01e9-a659-417b-b9e8-831a76277a21	ENST00000337248:76	88	5.415607344632768	6.462e-27	6.649e-27	76	3.527	0.054	0.779	-	0	0	0
ENSG00000001460	ENSP00000337461	ENST00000440416	64b434c0-0692-4034-9561-698a4d34629d	ENST00000337248:76	88	5.415607344632768	6.462e-27	6.649e-27	76	2.549	0.054	0.685	-	0	0	0
ENSG00000002586	ENSP00000370588	ENST00000381187	310820cc-fc05-45c6-8f04-a44db0828686	ENST00000381192:88	88	17.009571539297795	6.462e-27	6.649e-27	88	2.117	0.045	0.673	-	0	0	0
ENSG00000002586	ENSP00000370588	ENST00000381187	82bb01e9-a659-417b-b9e8-831a76277a21	ENST00000381192:88	88	17.009571539297795	6.462e-27	6.649e-27	88	3.063	0.045	0.754	-	0	0	0
ENSG00000003400	ENSP00000286186	ENST00000360132	e4d3986d-f3bd-44c2-a850-b72571bf0215	ENST00000286186:76	88	6.1807712215320905	2.531e-23	2.553e-23	76	2.306	0.012	0.635	PF00656:Peptidase_C14:284-512:PF00656:Peptidase_C14:ENSP00000311032:983:1,PF00656:Peptidase_C14:284-512:PF00656:Peptidase_C14:ENSP00000312455:999:1,PF00656:Peptidase_C14:284-512:PF00656:Peptidase_C14:ENSP00000351273:999:1,PF00656:Peptidase_C14:284-512:PF00656:Peptidase_C14:ENSP00000358327:962:1	4	4	0
ENSG00000003400	ENSP00000286186	ENST00000360132	151bb98d-d961-49c1-a54f-8293b3ab2ebd	ENST00000286186:76	88	6.1807712215320905	6.462e-27	6.649e-27	76	2.659	0.012	0.705	PF00656:Peptidase_C14:284-512:PF00656:Peptidase_C14:ENSP00000311032:983:1,PF00656:Peptidase_C14:284-512:PF00656:Peptidase_C14:ENSP00000312455:999:1,PF00656:Peptidase_C14:284-512:PF00656:Peptidase_C14:ENSP00000351273:999:1,PF00656:Peptidase_C14:284-512:PF00656:Peptidase_C14:ENSP00000358327:962:1	4	4	0
ENSG00000003400	ENSP00000286186	ENST00000360132	64b434c0-0692-4034-9561-698a4d34629d	ENST00000286186:76	88	6.1807712215320905	2.531e-23	2.553e-23	76	2.045	0.012	0.642	PF00656:Peptidase_C14:284-512:PF00656:Peptidase_C14:ENSP00000311032:983:1,PF00656:Peptidase_C14:284-512:PF00656:Peptidase_C14:ENSP00000312455:999:1,PF00656:Peptidase_C14:284-512:PF00656:Peptidase_C14:ENSP00000351273:999:1,PF00656:Peptidase_C14:284-512:PF00656:Peptidase_C14:ENSP00000358327:962:1	4	4	0
ENSG00000004534	ENSP00000266022	ENST00000266022	0031d433-d703-4b2c-9fdf-2920008eb457	ENST00000454079:44	88	2.353275895705049	6.462e-27	6.649e-27	44	5.281	0.123	0.506	-	0	0	0
ENSG00000004534	ENSP00000266022	ENST00000421682	1dc3f8d9-c9fd-4178-a0d1-520fcf2a5ebe	ENST00000454079:44	88	2.353275895705049	6.462e-27	6.649e-27	44	2.319	0.058	0.328	-	0	0	0
ENSG00000004534	ENSP00000266022	ENST00000421682	64b434c0-0692-4034-9561-698a4d34629d	ENST00000454079:44	88	2.353275895705049	6.462e-27	6.649e-27	44	2.559	0.058	0.385	-	0	0	0
ENSG00000004864	ENSP00000400101	ENST00000542654	932c2e20-510c-4aed-879e-b69d90710b64	ENST00000265631:88	88	14.587985745800104	6.462e-27	6.649e-27	88	3.647	0.026	0.765	-	0	0	0
ENSG00000004897	ENSP00000434614	ENST00000570740	310820cc-fc05-45c6-8f04-a44db0828686	ENST00000066544:81	88	5.8275862068965525	6.462e-27	6.649e-27	81	6.278	0.114	0.666	PF13414:TPR_11:709-774:PF15243:ANAPC15:ENSP00000227618:957:1,PF13414:TPR_11:709-774:PF12862:Apc5:ENSP00000261819:999:1,PF00515:TPR_1:677-708:PF03256:APC10:ENSP00000310071:999:1,PF00515:TPR_1:677-708:PF13181:TPR_8:ENSP00000348554:999:1,PF00515:TPR_1:677-708:PF00515:TPR_1:ENSP00000378350:999:1,PF00515:TPR_1:677-708:PF07719:TPR_2:ENSP00000394394:999:1,PF00515:TPR_1:677-708:PF03256:APC10:ENSP00000438788:921:1	7	7	0
ENSG00000004897	ENSP00000434614	ENST00000570740	e4d3986d-f3bd-44c2-a850-b72571bf0215	ENST00000066544:81	88	5.8275862068965525	6.462e-27	6.649e-27	81	3.410	0.114	0.679	PF13414:TPR_11:709-774:PF15243:ANAPC15:ENSP00000227618:957:1,PF13414:TPR_11:709-774:PF12862:Apc5:ENSP00000261819:999:1,PF00515:TPR_1:677-708:PF03256:APC10:ENSP00000310071:999:1,PF00515:TPR_1:677-708:PF13181:TPR_8:ENSP00000348554:999:1,PF00515:TPR_1:677-708:PF00515:TPR_1:ENSP00000378350:999:1,PF00515:TPR_1:677-708:PF07719:TPR_2:ENSP00000394394:999:1,PF00515:TPR_1:677-708:PF03256:APC10:ENSP00000438788:921:1	7	7	0
ENSG00000004897	ENSP00000434614	ENST00000570740	82bb01e9-a659-417b-b9e8-831a76277a21	ENST00000066544:81	88	5.8275862068965525	6.462e-27	6.649e-27	81	4.186	0.114	0.613	PF13414:TPR_11:709-774:PF15243:ANAPC15:ENSP00000227618:957:1,PF13414:TPR_11:709-774:PF12862:Apc5:ENSP00000261819:999:1,PF00515:TPR_1:677-708:PF03256:APC10:ENSP00000310071:999:1,PF00515:TPR_1:677-708:PF13181:TPR_8:ENSP00000348554:999:1,PF00515:TPR_1:677-708:PF00515:TPR_1:ENSP00000378350:999:1,PF00515:TPR_1:677-708:PF07719:TPR_2:ENSP00000394394:999:1,PF00515:TPR_1:677-708:PF03256:APC10:ENSP00000438788:921:1	7	7	0
ENSG00000004897	ENSP00000434614	ENST00000570740	5f8c2272-4530-45b3-a6d7-00de9be46d71	ENST00000066544:81	88	5.8275862068965525	6.462e-27	6.649e-27	81	2.169	0.114	0.450	PF13414:TPR_11:709-774:PF15243:ANAPC15:ENSP00000227618:957:1,PF13414:TPR_11:709-774:PF12862:Apc5:ENSP00000261819:999:1,PF00515:TPR_1:677-708:PF03256:APC10:ENSP00000310071:999:1,PF00515:TPR_1:677-708:PF13181:TPR_8:ENSP00000348554:999:1,PF00515:TPR_1:677-708:PF00515:TPR_1:ENSP00000378350:999:1,PF00515:TPR_1:677-708:PF07719:TPR_2:ENSP00000394394:999:1,PF00515:TPR_1:677-708:PF03256:APC10:ENSP00000438788:921:1	7	7	0
ENSG00000004897	ENSP00000434614	ENST00000570740	9c1d30c4-c8f0-4ca7-bec7-243f81b7680a	ENST00000066544:81	88	5.8275862068965525	6.462e-27	6.649e-27	81	3.177	0.114	0.490	PF13414:TPR_11:709-774:PF15243:ANAPC15:ENSP00000227618:957:1,PF13414:TPR_11:709-774:PF12862:Apc5:ENSP00000261819:999:1,PF00515:TPR_1:677-708:PF03256:APC10:ENSP00000310071:999:1,PF00515:TPR_1:677-708:PF13181:TPR_8:ENSP00000348554:999:1,PF00515:TPR_1:677-708:PF00515:TPR_1:ENSP00000378350:999:1,PF00515:TPR_1:677-708:PF07719:TPR_2:ENSP00000394394:999:1,PF00515:TPR_1:677-708:PF03256:APC10:ENSP00000438788:921:1	7	7	0
ENSG00000004897	ENSP00000434614	ENST00000570740	151bb98d-d961-49c1-a54f-8293b3ab2ebd	ENST00000066544:81	88	5.8275862068965525	6.462e-27	6.649e-27	81	4.550	0.114	0.532	PF13414:TPR_11:709-774:PF15243:ANAPC15:ENSP00000227618:957:1,PF13414:TPR_11:709-774:PF12862:Apc5:ENSP00000261819:999:1,PF00515:TPR_1:677-708:PF03256:APC10:ENSP00000310071:999:1,PF00515:TPR_1:677-708:PF13181:TPR_8:ENSP00000348554:999:1,PF00515:TPR_1:677-708:PF00515:TPR_1:ENSP00000378350:999:1,PF00515:TPR_1:677-708:PF07719:TPR_2:ENSP00000394394:999:1,PF00515:TPR_1:677-708:PF03256:APC10:ENSP00000438788:921:1	7	7	0
