#ENSG	ENSTselected	ENSTredundant	Type
ENSG00000002834	ENST00000433206	ENST00000585841	1
ENSG00000002919	ENST00000439357	ENST00000581705	1
ENSG00000003096	ENST00000262820	ENST00000447671	1
ENSG00000003393	ENST00000439495	ENST00000457679	1
ENSG00000004534	ENST00000539992	ENST00000419610	2
ENSG00000004766	ENST00000541136	ENST00000441602	2
ENSG00000004897	ENST00000446365	ENST00000533415	1
ENSG00000005187	ENST00000562251	ENST00000450120	2
ENSG00000006695	ENST00000536205	ENST00000581931	1
ENSG00000006695	ENST00000537334	ENST00000580561	1
ENSG00000006837	ENST00000435240	ENST00000520693	1
ENSG00000007168	ENST00000574468	ENST00000451360	2
ENSG00000007216	ENST00000537681	ENST00000459818	2
ENSG00000007923	ENST00000451196	ENST00000349363	2
ENSG00000010292	ENST00000545962	ENST00000539084	2
ENSG00000011114	ENST00000553975	ENST00000393170	2
ENSG00000011143	ENST00000546108	ENST00000393120	2
ENSG00000015153	ENST00000380788	ENST00000552109	1
ENSG00000015171	ENST00000397962	ENST00000309776	2
ENSG00000021461	ENST00000342499	ENST00000436834	1
ENSG00000021762	ENST00000542243	ENST00000471998	2
ENSG00000022267	ENST00000434885	ENST00000452016	1
ENSG00000025434	ENST00000481889	ENST00000481020	4
ENSG00000028310	ENST00000435709	ENST00000466684	1
ENSG00000035499	ENST00000545085	ENST00000512078	2
ENSG00000037474	ENST00000539938	ENST00000504374	2
ENSG00000039123	ENST00000545714	ENST00000506750	2
ENSG00000040199	ENST00000564884	ENST00000540628	2
ENSG00000042832	ENST00000519178	ENST00000542445	1
ENSG00000042980	ENST00000397649	ENST00000520448	1
ENSG00000044115	ENST00000355078	ENST00000521724	1
ENSG00000049167	ENST00000426742	ENST00000381118	2
ENSG00000049283	ENST00000541226	ENST00000512291	2
ENSG00000049283	ENST00000537145	ENST00000512379	2
ENSG00000049769	ENST00000438316	ENST00000466508	1
ENSG00000049883	ENST00000536805	ENST00000503315	2
ENSG00000050820	ENST00000546196	ENST00000562556	1
ENSG00000054690	ENST00000417684	ENST00000561370	1
ENSG00000055609	ENST00000262189	ENST00000558084	1
ENSG00000058404	ENST00000502837	ENST00000523845	1
ENSG00000062038	ENST00000581171	ENST00000542274	2
